,#,Date,Type,Operator,Fatalities,Flight type,Phase,Location,Country,Latitude,Longitude,"Ground
fatalities","Category 
(unconfirmed)",Scheduled,Non-Scheduled
1,2,2018-02-18 00:00:00,ATR 72-212,Iran Aseman Airlines,66.0,Domestic Scheduled Passenger,En Route,near Yasuj Airport (YES),Iran,,,,CFIT,1,0
2,3,2018-03-12 00:00:00,de Havilland Canada DHC-8-402Q Dash 8,US-Bangla Airlines,51.0,International Scheduled Passenger,Landing,Kathmandu-Tribhuvan Airport (KTM),Nepal,,,,Runway excursion,1,0
3,4,2018-04-17 00:00:00,Boeing 737-7H4 (WL),Southwest Airlines,1.0,Domestic Scheduled Passenger,En Route,"105 km NW of Philadelphia, PA",USA,,,,,1,0
5,6,2018-05-18 00:00:00,Boeing 737-201 Adv.,Cubana de Aviación,112.0,Domestic Scheduled Passenger,Initial Climb,near Havana-José Martí International Airport (HAV),Cuba,,,,Loss of control,1,0
6,7,2018-06-05 00:00:00,Cessna 208B Grand Caravan,Fly-SAX,10.0,Domestic Scheduled Passenger,En Route,near Njabini,Kenya,,,,,1,0
8,9,2018-08-04 00:00:00,Junkers Ju-52/3mg4e,Ju-Air,20.0,Domestic Non-Scheduled Passenger,En route,Piz Segnas,Switzerland,,,,Loss of control,0,1
9,10,2018-09-09 00:00:00,Let L-410UVP,Slaver Company,20.0,Passenger,Approach,Yirol Airport,South Sudan,,,,,1,0
10,11,2018-09-28 00:00:00,Boeing 737-8BK (WL),Air Niugini,1.0,International Scheduled Passenger,Approach,off Chuuk/Weno International Airport (TKK),Micronesia,,,,CFIT,1,0
11,12,2018-10-29 00:00:00,Boeing 737 MAX 8,Lion Air,189.0,Domestic Scheduled Passenger,En Route,off Tanjung Bungin,Indonesia,,,,Loss of control,1,0
12,13,2018-11-09 00:00:00,Boeing 757-200,Fly Jamaica Airways,1.0,International Scheduled Passenger,Landing,Georgetown-Cheddi Jagan International Airport,Guyana,,,,Runway excursion,1,0
2,3,2019-03-09 00:00:00,Douglas DC-3,LASER,14.0,Passenger,En route,near Villavicencio,Colombia,,,,Emergency landing,1,0
3,4,2019-03-10 00:00:00,Boeing 737 MAX 8,Ethiopian Airlines,157.0,Scheduled Passenger,En route,near Addis Ababa,Ethiopia,,,,Loss of control,1,0
4,5,2019-05-06 00:00:00,Sukhoi Superjet,Aeroflot,41.0,Scheduled Passenger,Landing,Moscow,Russia,,,,Emergency landing,1,0
5,6,2019-05-13 00:00:00,DHC-3T,Taquan,1.0,Non-Scheduled Passenger,En route,"Ketchikan, AK",USA,,,,Mid-air collision,0,1
6,7,2019-06-27 00:00:00,Antonov An-24,Angara,2.0,Scheduled Passenger,Landing,Nizhneangarsk,Russia,,,,Runway excursion,1,0
7,8,2019-07-26 00:00:00,Cessna 208,Seair,4.0,Non-Scheduled Passenger,En route,Addenbroke Island,Canada,,,,CFIT,0,1
8,9,2019-08-06 00:00:00,Cessna 208B,Alkan Air,2.0,Non-Scheduled Passenger,En route,near Mayo,Canada,,,,,0,1
11,12,2019-09-23 00:00:00,Cessna 208B,Auric Air,2.0,Non-Scheduled Passenger,Takeoff,Seronera,Tanzania,,,,,0,1
12,13,2019-10-02 00:00:00,Boeing B-17,The Collings Foundation,7.0,Non-Scheduled Passenger,Landing,"Windsor Locks, CT",USA,,,,Engine failure,0,1
14,15,2019-10-17 00:00:00,Saab 2000,PenAir,1.0,Scheduled Passenger,Landing,"Unalaska, AK",USA,,,,Runway excursion,1,0
15,16,2019-10-26 00:00:00,DHC-3T,Blue Water Av. Svc,3.0,Non-Scheduled Passenger,Approach,"Family Lake, MB ",Canada,,,,Structural failure,0,1
16,17,2019-11-24 00:00:00,Dornier 228,Busy Bee,21.0,Scheduled Passenger,Takeoff,Goma,DRC,,,6.0,,1,0
18,19,2019-12-24 00:00:00,Cessna 208B,Calafia Airlines,2.0,Scheduled Passenger,En route,Tastiota,Mexico,,,,,1,0
19,20,2019-12-27 00:00:00,Fokker 100,Bek Air,12.0,Scheduled Passenger,Takeoff,Almaty,Kazakhstan,,,,Loss of control,1,0
0,1,2020-01-08 00:00:00,Boeing 737-800,Ukraine Int. Airlines,176.0,Passenger,En route,near Tehran,Iran,,,,Shot down,1,0
1,2,2020-02-05 00:00:00,Boeing 737-800,Pegasus Airlines,3.0,Passenger,Landing,Istanbul,Turkey,,,,Runway excursion,1,0
4,5,2020-05-22 00:00:00,Airbus A320-214,PIA,97.0,Passenger,Approach,Karachi,Pakistan,,,1.0,Loss of control,1,0
5,6,2020-08-07 00:00:00,Boeing 737-800,Air India Express,21.0,Passenger,Landing,Kozhikode,India,,,,Runway excursion,1,0
0,1,2021-01-09 00:00:00,Boeing 737-500,Sriwijaya Air,62.0,Passenger,En route,off Jakarta,Indonesia,,,,Loss of control,1,0
1,2,2021-03-02 00:00:00,Let L-410,South Sudan Supreme,10.0,Passenger,Initial climb,Pieri,South Sudan,,,,Loss of control,1,0
3,4,2021-07-06 00:00:00,Antonov An-26B,Kamchatka AE,28.0,Passenger,Approach,Palana,Russia,,,,CFIT,1,0
4,5,2021-09-12 00:00:00,Let L-410,Aeroservice,4.0,Passenger,Approach,Kazachinskoye,Russia,,,,CFIT,1,0
